Online Status,image,accession_no,accession_year,title,region,creator,year_period,time_category,object_type,technique,material,description,dimension,credit_line,collection_of,item_id,item_url
On Roots,https://www.roots.gov.sg/CollectionImages/1157574.jpg,2008-05038,2008,New Ferry Terminal and Fountain Gardens at Sentosa,Singapore,,Late 1980s,20th century (late),,,,"Located off the southern coast of mainland Singapore, Sentosa (Isle of Tranquillity) was initially known as Pulau Blakang Mati (Island Behind Death). Starting from the 1880s, the island was an important British military base with a number of forts built on it to protect the southern shipping lanes. In 1970, the island was renamed Sentosa following a naming contest organised by the Singapore Tourist Promotion Board (STPB). The development of the island into a tourist and recreation resort came under the management of the Sentosa Development Corporation (SDC), which was formed in 1972.In 1980, the STPB announced plans for a second round of development to attract more visitors to Sentosa. Part of the plans involved the construction of a new ferry terminal on the island to improve visitor accessibility. Built at a cost of $14.5 million, the New Ferry Terminal began operations in October 1987 and was officially opened by then Minister of Trade and Industry Lee Hsien Loong in November 1988. The terminal had double the capacity of the old jetty, and was able to receive up to three ferries at one time and 5,000 visitors every hour. Its location also cut travelling time from the mainland from six to four minutes. Designed by local architect Lee Coo, the three-storey terminal building resembled a white colonial mansion with green balustrades, a red-tiled roof, and a 32-metre-high clock tower. Housed within the terminal were shops, food outlets and a monorail station located on the second floor. Situated directly behind the terminal was the European-style Fountain Gardens.",Object size: 10.5 x 14.8 cm,,National Museum of Singapore,1157574,https://www.roots.gov.sg/Collection-Landing/listing/1157574
On Roots,https://www.roots.gov.sg/CollectionImages/1146409.jpg,2008-05007,2008,Postcard showing latest Sentosa attractions,Singapore,,Late 1980s,20th century (late),,,,"Located off the southern coast of mainland Singapore, Sentosa (Isle of Tranquillity) was initially known as Pulau Blakang Mati (Island Behind Death). Starting from the 1880s, the island was an important British military base with a number of forts built on it to protect the southern shipping lanes. In 1970, the island was renamed Sentosa following a naming contest organised by the Singapore Tourist Promotion Board (STPB). The development of the island into a tourist and recreation resort came under the management of the Sentosa Development Corporation (SDC), which was formed in 1972.In 1980, the STPB announced plans for a second round of development to attract more visitors to Sentosa. Subsequently, plans were also made to upgrade existing attractions to keep them attractive to visitors. The Sentosa Wax Museum (top left) was earmarked for an $8.4 million revamp that would involve the creation of a new Pioneers of Singapore Gallery, and the relocation of the Surrender Chambers exhibit to a new wing of the museum. For Fort Siloso (bottom right), a $100,000 interactive Sounds of Siloso exhibit was planned to be built in the fort’s tunnel system. A new $800,000 butterfly park (bottom left) was also planned as part of the expansion plans for the existing World Insectarium attraction. Most of the upgrading works were completed by the late 1980s.",Object size: 10.3 x 14.7 cm,,National Museum of Singapore,1146409,https://www.roots.gov.sg/Collection-Landing/listing/1146409
On Roots,https://www.roots.gov.sg/CollectionImages/1149457.jpg,2008-05022,2008,Pioneers of Singapore Museum exhibits at Sentosa Wax Museum,Singapore,,Late 1980s,20th century (late),,,,"Located off the southern coast of mainland Singapore, Sentosa (Isle of Tranquillity) was initially known as Pulau Blakang Mati (Island Behind Death). Starting from the 1880s, the island was an important British military base with a number of forts built on it to protect the southern shipping lanes. In 1970, the island was renamed Sentosa following a naming contest organised by the Singapore Tourist Promotion Board (STPB). The development of the island into a tourist and recreation resort came under the management of the Sentosa Development Corporation (SDC), which was formed in 1972.In 1980, the STPB announced plans for a second round of development to attract more visitors to Sentosa. Subsequently, plans were also made to upgrade existing attractions to keep them attractive to visitors. The Sentosa Wax Museum was earmarked for an $8.4 million revamp that would involve the relocation of the Surrender Chambers exhibit to a new wing of the museum. In addition, a new Pioneers of Singapore Gallery was created as part of the revamp. The Gallery was officially opened by then Finance and Trade and Industry Minister Dr. Tony Tan in December 1984 as the Pioneers of Singapore Museum. The museum initially had nine exhibits that depicted Singapore’s history from the 14th century to before the Second World War. The exhibits included wax models of a Samsui woman transporting bricks (top left), a Malay woman shopping for textiles (top right), an Indian woman buying groceries (bottom right), and a British Air Raid Precautions (ARP) warden patrolling the streets (bottom left).",Object size: 10.3 x 14.7 cm,,National Museum of Singapore,1149457,https://www.roots.gov.sg/Collection-Landing/listing/1149457
On Roots,https://www.roots.gov.sg/CollectionImages/1149614.jpg,2008-05018,2008,Fort Siloso monorail train station at Sentosa,Singapore,,Late 1980s,20th century (late),,,,"Located off the southern coast of mainland Singapore, Sentosa (Isle of Tranquillity) was initially known as Pulau Blakang Mati (Island Behind Death). Starting from the 1880s, the island was an important British military base with a number of forts built on it to protect the southern shipping lanes. In 1970, the island was renamed Sentosa following a naming contest organised by the Singapore Tourist Promotion Board (STPB). The development of the island into a tourist and recreation resort came under the management of the Sentosa Development Corporation (SDC), which was formed in 1972.In 1980, the STPB announced plans for a second round of development to attract more visitors to Sentosa. The plans included building a new monorail system to improve the island’s transport infrastructure, which at the time relied mainly on buses. The six-kilometre-long monorail system was jointly built by Swiss firm Habegger Thun and Singapore firm United Engineers at a cost of $16 million. Opened on 23rd February 1982, the system initially had nine trains each with 15 cabins that could carry up to 90 passengers at a time. The system was a simple loop service that started and finished at the ferry terminal, with stations located at the Apollo Sentosa Hotel, Fort Siloso, the swimming lagoon, and the cable car station on Carlton Hill. The monorail was an instant hit with visitors, with thousands rushing to the island to try the new transportation system on its opening day. On 15th March 2005, the old monorail trains ran for the last time and were subsequently replaced by the Sentosa Express rail system.",Object size: 10.2 x 14.9 cm,,National Museum of Singapore,1149614,https://www.roots.gov.sg/Collection-Landing/listing/1149614
On Roots,https://www.roots.gov.sg/CollectionImages/1148448.jpg,2008-05016,2008,Monorail train travelling past Fort Siloso at Sentosa,Singapore,,Mid 1980s,20th century (late),,,,"Located off the southern coast of mainland Singapore, Sentosa (Isle of Tranquillity) was initially known as Pulau Blakang Mati (Island Behind Death). Starting from the 1880s, the island was an important British military base with a number of forts built on it to protect the southern shipping lanes. In 1970, the island was renamed Sentosa following a naming contest organised by the Singapore Tourist Promotion Board (STPB). The development of the island into a tourist and recreation resort came under the management of the Sentosa Development Corporation (SDC), which was formed in 1972.In 1980, the STPB announced plans for a second round of development to attract more visitors to Sentosa. The plans included building a new monorail system to improve the island’s transport infrastructure, which at the time relied mainly on buses. The six-kilometre-long monorail system was jointly built by Swiss firm Habegger Thun and Singapore firm United Engineers at a cost of $16 million. Opened on 23rd February 1982, the system initially had nine trains each with 15 cabins that could carry up to 90 passengers at a time. The system was a simple loop service that started and finished at the ferry terminal, with stations located at the Apollo Sentosa Hotel, Fort Siloso, the swimming lagoon, and the cable car station on Carlton Hill. The monorail was an instant hit with visitors, with thousands rushing to the island to try the new transportation system on its opening day. On 15th March 2005, the old monorail trains ran for the last time and were subsequently replaced by the Sentosa Express rail system.",Object size: 10.5 x 14.8 cm,,National Museum of Singapore,1148448,https://www.roots.gov.sg/Collection-Landing/listing/1148448
On Roots,https://www.roots.gov.sg/CollectionImages/1148686.jpg,2008-05013,2008,Monorail train at Sentosa,Singapore,,Mid 1980s,20th century (late),,,,"Located off the southern coast of mainland Singapore, Sentosa (Isle of Tranquillity) was initially known as Pulau Blakang Mati (Island Behind Death). Starting from the 1880s, the island was an important British military base with a number of forts built on it to protect the southern shipping lanes. In 1970, the island was renamed Sentosa following a naming contest organised by the Singapore Tourist Promotion Board (STPB). The development of the island into a tourist and recreation resort came under the management of the Sentosa Development Corporation (SDC), which was formed in 1972.In 1980, the STPB announced plans for a second round of development to attract more visitors to Sentosa. The plans included building a new monorail system to improve the island’s transport infrastructure, which at the time relied mainly on buses. The six-kilometre-long monorail system was jointly built by Swiss firm Habegger Thun and Singapore firm United Engineers at a cost of $16 million. Opened on 23rd February 1982, the system initially had nine trains each with 15 cabins that could carry up to 90 passengers at a time. The system was a simple loop service that started and finished at the ferry terminal, with stations located at the Apollo Sentosa Hotel, Fort Siloso, the swimming lagoon, and the cable car station on Carlton Hill. The monorail was an instant hit with visitors, with thousands rushing to the island to try the new transportation system on its opening day. On 15th March 2005, the old monorail trains ran for the last time and were subsequently replaced by the Sentosa Express rail system.",Object size: 10.5 x 14.7 cm,,National Museum of Singapore,1148686,https://www.roots.gov.sg/Collection-Landing/listing/1148686
On Roots,https://www.roots.gov.sg/CollectionImages/1148339.jpg,2008-05014,2008,Monorail train and cable car at Sentosa,Singapore,,Mid 1980s,20th century (late),,,,"Located off the southern coast of mainland Singapore, Sentosa (Isle of Tranquillity) was initially known as Pulau Blakang Mati (Island Behind Death). Starting from the 1880s, the island was an important British military base with a number of forts built on it to protect the southern shipping lanes. In 1970, the island was renamed Sentosa following a naming contest organised by the Singapore Tourist Promotion Board (STPB). The development of the island into a tourist and recreation resort came under the management of the Sentosa Development Corporation (SDC), which was formed in 1972.In 1980, the STPB announced plans for a second round of development to attract more visitors to Sentosa. The plans included building a new monorail system to improve the island’s transport infrastructure, which at the time relied mainly on buses. The six-kilometre-long monorail system was jointly built by Swiss firm Habegger Thun and Singapore firm United Engineers at a cost of $16 million. Opened on 23rd February 1982, the system initially had nine trains each with 15 cabins that could carry up to 90 passengers at a time. The system was a simple loop service that started and finished at the ferry terminal, with stations located at the Apollo Sentosa Hotel, Fort Siloso, the swimming lagoon, and the cable car station on Carlton Hill. The monorail was an instant hit with visitors, with thousands rushing to the island to try the new transportation system on its opening day. On 15th March 2005, the old monorail trains ran for the last time and were subsequently replaced by the Sentosa Express rail system.",Object size: 10.2 x 15 cm,,National Museum of Singapore,1148339,https://www.roots.gov.sg/Collection-Landing/listing/1148339
On Roots,https://www.roots.gov.sg/CollectionImages/1147447.jpg,2008-05010,2008,Monorail train at Sentosa,Singapore,,Mid 1980s,20th century (late),,,,"Located off the southern coast of mainland Singapore, Sentosa (Isle of Tranquillity) was initially known as Pulau Blakang Mati (Island Behind Death). Starting from the 1880s, the island was an important British military base with a number of forts built on it to protect the southern shipping lanes. In 1970, the island was renamed Sentosa following a naming contest organised by the Singapore Tourist Promotion Board (STPB). The development of the island into a tourist and recreation resort came under the management of the Sentosa Development Corporation (SDC), which was formed in 1972.In 1980, the STPB announced plans for a second round of development to attract more visitors to Sentosa. The plans included building a new monorail system to improve the island’s transport infrastructure, which at the time relied mainly on buses. The six-kilometre-long monorail system was jointly built by Swiss firm Habegger Thun and Singapore firm United Engineers at a cost of $16 million. Opened on 23rd February 1982, the system initially had nine trains each with 15 cabins that could carry up to 90 passengers at a time. The system was a simple loop service that started and finished at the ferry terminal, with stations located at the Apollo Sentosa Hotel, Fort Siloso, the swimming lagoon, and the cable car station on Carlton Hill. The monorail was an instant hit with visitors, with thousands rushing to the island to try the new transportation system on its opening day. On 15th March 2005, the old monorail trains ran for the last time and were subsequently replaced by the Sentosa Express rail system.",Object size: 10.3 x 14.3 cm,,National Museum of Singapore,1147447,https://www.roots.gov.sg/Collection-Landing/listing/1147447
On Roots,https://www.roots.gov.sg/CollectionImages/1148017.jpg,2008-05012,2008,Monorail train at Sentosa,Singapore,,Mid 1980s,20th century (late),,,,"Located off the southern coast of mainland Singapore, Sentosa (Isle of Tranquillity) was initially known as Pulau Blakang Mati (Island Behind Death). Starting from the 1880s, the island was an important British military base with a number of forts built on it to protect the southern shipping lanes. In 1970, the island was renamed Sentosa following a naming contest organised by the Singapore Tourist Promotion Board (STPB). The development of the island into a tourist and recreation resort came under the management of the Sentosa Development Corporation (SDC), which was formed in 1972.In 1980, the STPB announced plans for a second round of development to attract more visitors to Sentosa. The plans included building a new monorail system to improve the island’s transport infrastructure, which at the time relied mainly on buses. The six-kilometre-long monorail system was jointly built by Swiss firm Habegger Thun and Singapore firm United Engineers at a cost of $16 million. Opened on 23rd February 1982, the system initially had nine trains each with 15 cabins that could carry up to 90 passengers at a time. The system was a simple loop service that started and finished at the ferry terminal, with stations located at the Apollo Sentosa Hotel, Fort Siloso, the swimming lagoon, and the cable car station on Carlton Hill. The monorail was an instant hit with visitors, with thousands rushing to the island to try the new transportation system on its opening day. On 15th March 2005, the old monorail trains ran for the last time and were subsequently replaced by the Sentosa Express rail system.",Object size: 10.2 x 15 cm,,National Museum of Singapore,1148017,https://www.roots.gov.sg/Collection-Landing/listing/1148017
On Roots,https://www.roots.gov.sg/CollectionImages/1147898.jpg,2008-05011,2008,Monorail train travelling past the cable car station at Sentosa,Singapore,,Mid 1980s,20th century (late),,,,"Located off the southern coast of mainland Singapore, Sentosa (Isle of Tranquillity) was initially known as Pulau Blakang Mati (Island Behind Death). Starting from the 1880s, the island was an important British military base with a number of forts built on it to protect the southern shipping lanes. In 1970, the island was renamed Sentosa following a naming contest organised by the Singapore Tourist Promotion Board (STPB). The development of the island into a tourist and recreation resort came under the management of the Sentosa Development Corporation (SDC), which was formed in 1972.In 1980, the STPB announced plans for a second round of development to attract more visitors to Sentosa. The plans included building a new monorail system to improve the island’s transport infrastructure, which at the time relied mainly on buses. The six-kilometre-long monorail system was jointly built by Swiss firm Habegger Thun and Singapore firm United Engineers at a cost of $16 million. Opened on 23rd February 1982, the system initially had nine trains each with 15 cabins that could carry up to 90 passengers at a time. The system was a simple loop service that started and finished at the ferry terminal, with stations located at the Apollo Sentosa Hotel, Fort Siloso, the swimming lagoon, and the cable car station on Carlton Hill. The monorail was an instant hit with visitors, with thousands rushing to the island to try the new transportation system on its opening day. On 15th March 2005, the old monorail trains ran for the last time and were subsequently replaced by the Sentosa Express rail system.",Object size: 10.6 x 14.9 cm,,National Museum of Singapore,1147898,https://www.roots.gov.sg/Collection-Landing/listing/1147898
On Roots,https://www.roots.gov.sg/CollectionImages/1149615.jpg,2008-05015,2008,Monorail train and cable cars at Sentosa,Singapore,,Mid 1980s,20th century (late),,,,"Located off the southern coast of mainland Singapore, Sentosa (Isle of Tranquillity) was initially known as Pulau Blakang Mati (Island Behind Death). Starting from the 1880s, the island was an important British military base with a number of forts built on it to protect the southern shipping lanes. In 1970, the island was renamed Sentosa following a naming contest organised by the Singapore Tourist Promotion Board (STPB). The development of the island into a tourist and recreation resort came under the management of the Sentosa Development Corporation (SDC), which was formed in 1972.In 1980, the STPB announced plans for a second round of development to attract more visitors to Sentosa. The plans included building a new monorail system to improve the island’s transport infrastructure, which at the time relied mainly on buses. The six-kilometre-long monorail system was jointly built by Swiss firm Habegger Thun and Singapore firm United Engineers at a cost of $16 million. Opened on 23rd February 1982, the system initially had nine trains each with 15 cabins that could carry up to 90 passengers at a time. The system was a simple loop service that started and finished at the ferry terminal, with stations located at the Apollo Sentosa Hotel, Fort Siloso, the swimming lagoon, and the cable car station on Carlton Hill. The monorail was an instant hit with visitors, with thousands rushing to the island to try the new transportation system on its opening day. On 15th March 2005, the old monorail trains ran for the last time and were subsequently replaced by the Sentosa Express rail system.",Object size: 10.3 x 14.7 cm,,National Museum of Singapore,1149615,https://www.roots.gov.sg/Collection-Landing/listing/1149615
On Roots,https://www.roots.gov.sg/CollectionImages/1148960.jpg,2008-05008,2008,Monorail train at Sentosa,Singapore,,Mid 1980s,20th century (late),,,,"Located off the southern coast of mainland Singapore, Sentosa (Isle of Tranquillity) was initially known as Pulau Blakang Mati (Island Behind Death). Starting from the 1880s, the island was an important British military base with a number of forts built on it to protect the southern shipping lanes. In 1970, the island was renamed Sentosa following a naming contest organised by the Singapore Tourist Promotion Board (STPB). The development of the island into a tourist and recreation resort came under the management of the Sentosa Development Corporation (SDC), which was formed in 1972.In 1980, the STPB announced plans for a second round of development to attract more visitors to Sentosa. The plans included building a new monorail system to improve the island’s transport infrastructure, which at the time relied mainly on buses. The six-kilometre-long monorail system was jointly built by Swiss firm Habegger Thun and Singapore firm United Engineers at a cost of $16 million. Opened on 23rd February 1982, the system initially had nine trains each with 15 cabins that could carry up to 90 passengers at a time. The system was a simple loop service that started and finished at the ferry terminal, with stations located at the Apollo Sentosa Hotel, Fort Siloso, the swimming lagoon, and the cable car station on Carlton Hill. The monorail was an instant hit with visitors, with thousands rushing to the island to try the new transportation system on its opening day. On 15th March 2005, the old monorail trains ran for the last time and were subsequently replaced by the Sentosa Express rail system.",Object size: 10.1 x 15 cm,,National Museum of Singapore,1148960,https://www.roots.gov.sg/Collection-Landing/listing/1148960
On Roots,https://www.roots.gov.sg/CollectionImages/1146688.jpg,2008-05044,2008,Musical Fountain at Sentosa,Singapore,,Early 1980s,20th century (late),,,,"Located off the southern coast of mainland Singapore, Sentosa (Isle of Tranquillity) was initially known as Pulau Blakang Mati (Island Behind Death). Starting from the 1880s, the island was an important British military base with a number of forts built on it to protect the southern shipping lanes. In 1970, the island was renamed Sentosa following a naming contest organised by the Singapore Tourist Promotion Board (STPB). The development of the island into a tourist and recreation resort came under the management of the Sentosa Development Corporation (SDC), which was formed in 1972.In 1980, the STPB announced plans for a second round of development to attract more visitors to Sentosa. The plans included the construction of a musical fountain on a reclaimed area of Imbiah Bay. A contract was subsequently awarded to Venus Enterprises to construct the fountain, which was officially opened in June 1982. Two months prior to its launch, SDC organised a contest to find a new name for the attraction. However, none of the entries were found to be suitable and the original name, Musical Fountain, was retained.Built at a cost of $3.2 million, the fountain initially comprised of a swan-shaped main pool, two terrace pools, and a viewing gallery that could accommodate up to 1,000 people. The computer-controlled fountain was able to display 16 different water formations in time to familiar local, classical and Broadway tunes such as Singapura, Little White Boat and My Fair Lady. To mark its official opening, the Pains Fireworks company was invited over from London to set up a spectacular silvery fireworks display. A fibreglass ‘rock’ wall was added to the popular attraction in 1985.",Object size: 10.2 x 14.9 cm,,National Museum of Singapore,1146688,https://www.roots.gov.sg/Collection-Landing/listing/1146688
On Roots,https://www.roots.gov.sg/CollectionImages/1149937.jpg,2008-05045,2008,Musical Fountain at Sentosa with New Ferry Terminal in background,Singapore,,Late 1980s,20th century (late),,,,"Located off the southern coast of mainland Singapore, Sentosa (Isle of Tranquillity) was initially known as Pulau Blakang Mati (Island Behind Death). Starting from the 1880s, the island was an important British military base with a number of forts built on it to protect the southern shipping lanes. In 1970, the island was renamed Sentosa following a naming contest organised by the Singapore Tourist Promotion Board (STPB). The development of the island into a tourist and recreation resort came under the management of the Sentosa Development Corporation (SDC), which was formed in 1972.In 1980, the STPB announced plans for a second round of development to attract more visitors to Sentosa. The plans included the construction of a musical fountain on a reclaimed area of Imbiah Bay. A contract was subsequently awarded to Venus Enterprises to construct the fountain, which was officially opened in June 1982. Two months prior to its launch, SDC organised a contest to find a new name for the attraction. However, none of the entries were found to be suitable and the original name, Musical Fountain, was retained.Built at a cost of $3.2 million, the fountain initially comprised of a swan-shaped main pool, two terrace pools, and a viewing gallery that could accommodate up to 1,000 people. The computer-controlled fountain was able to display 16 different water formations in time to familiar local, classical and Broadway tunes such as Singapura, Little White Boat and My Fair Lady. To mark its official opening, the Pains Fireworks company was invited over from London to set up a spectacular silvery fireworks display. A fibreglass ‘rock’ wall was added to the popular attraction in 1985.",Object size: 10.4 x 14.8 cm,,National Museum of Singapore,1149937,https://www.roots.gov.sg/Collection-Landing/listing/1149937
On Roots,https://www.roots.gov.sg/CollectionImages/1147509.jpg,2008-05028,2008,Coralarium at Sentosa,Singapore,,Mid 1970s,20th century (late),,,,"Located off the southern coast of mainland Singapore, Sentosa (Isle of Tranquillity) was initially known as Pulau Blakang Mati (Island Behind Death). Starting from the 1880s, the island was an important British military base with a number of forts built on it to protect the southern shipping lanes. In 1970, the island was renamed Sentosa following a naming contest organised by the Singapore Tourist Promotion Board (STPB). The development of the island into a tourist and recreation resort came under the management of the Sentosa Development Corporation (SDC), which was formed in 1972.One of the projects under the development plan for Sentosa was a coral garden situated atop Mount Serapong on the eastern end of the island. The project was first announced in 1971 and was the brainchild of then Minister for Defence, Dr. Goh Keng Swee. Marine life expert Johnny Johnson was subsequently recruited to manage the project. Opened in 1974 as the Coralarium, it was the first such attraction to be found in Asia. The Coralarium complex was situated amidst four acres of beautiful garden grounds complete with landscaped pools. The coral exhibits were housed in a main building, designed by the Urban Renewal Department, which had an 18-metre-tall coralon tower. Inside the uniquely shaped building was a 60-metre-long continuous display corridor that showcased various corals and seashells. The Coralarium’s distinctive coralon tower was dismantled in June 1983 due to safety concerns over its structural stability.",Object size: 9.9 x 14.1 cm,,National Museum of Singapore,1147509,https://www.roots.gov.sg/Collection-Landing/listing/1147509
On Roots,https://www.roots.gov.sg/CollectionImages/1147718.jpg,2008-05023,2008,Garden section of Coralarium at Sentosa,Singapore,,Mid 1970s,20th century (late),,,,"Located off the southern coast of mainland Singapore, Sentosa (Isle of Tranquillity) was initially known as Pulau Blakang Mati (Island Behind Death). Starting from the 1880s, the island was an important British military base with a number of forts built on it to protect the southern shipping lanes. In 1970, the island was renamed Sentosa following a naming contest organised by the Singapore Tourist Promotion Board (STPB). The development of the island into a tourist and recreation resort came under the management of the Sentosa Development Corporation (SDC), which was formed in 1972.One of the projects under the development plan for Sentosa was a coral garden situated atop Mount Serapong on the eastern end of the island. The project was first announced in 1971 and was the brainchild of then Minister for Defence, Dr. Goh Keng Swee. Marine life expert Johnny Johnson was subsequently recruited to manage the project. Opened in 1974 as the Coralarium, it was the first such attraction to be found in Asia. The Coralarium complex was situated amidst four acres of beautiful garden grounds complete with landscaped pools. The coral exhibits were housed in a main building, designed by the Urban Renewal Department, which had an 18-metre-tall coralon tower. Inside the uniquely shaped building was a 60-metre-long continuous display corridor that showcased various corals and seashells. The Coralarium’s distinctive coralon tower was dismantled in June 1983 due to safety concerns over its structural stability.",Object size: 10.2 x 14.9 cm,,National Museum of Singapore,1147718,https://www.roots.gov.sg/Collection-Landing/listing/1147718
On Roots,https://www.roots.gov.sg/CollectionImages/1148568.jpg,2008-05027,2008,Garden section of Coralarium at Sentosa,Singapore,,Mid 1970s,20th century (late),,,,"Located off the southern coast of mainland Singapore, Sentosa (Isle of Tranquillity) was initially known as Pulau Blakang Mati (Island Behind Death). Starting from the 1880s, the island was an important British military base with a number of forts built on it to protect the southern shipping lanes. In 1970, the island was renamed Sentosa following a naming contest organised by the Singapore Tourist Promotion Board (STPB). The development of the island into a tourist and recreation resort came under the management of the Sentosa Development Corporation (SDC), which was formed in 1972.One of the projects under the development plan for Sentosa was a coral garden situated atop Mount Serapong on the eastern end of the island. The project was first announced in 1971 and was the brainchild of then Minister for Defence, Dr. Goh Keng Swee. Marine life expert Johnny Johnson was subsequently recruited to manage the project. Opened in 1974 as the Coralarium, it was the first such attraction to be found in Asia. The Coralarium complex was situated amidst four acres of beautiful garden grounds complete with landscaped pools. The coral exhibits were housed in a main building, designed by the Urban Renewal Department, which had an 18-metre-tall coralon tower. Inside the uniquely shaped building was a 60-metre-long continuous display corridor that showcased various corals and seashells. The Coralarium’s distinctive coralon tower was dismantled in June 1983 due to safety concerns over its structural stability.",Object size: 10.1 x 14.9 cm,,National Museum of Singapore,1148568,https://www.roots.gov.sg/Collection-Landing/listing/1148568
On Roots,https://www.roots.gov.sg/CollectionImages/1147715.jpg,2008-05030,2008,Coralarium at Sentosa,Singapore,,Mid 1970s,20th century (late),,,,"Located off the southern coast of mainland Singapore, Sentosa (Isle of Tranquillity) was initially known as Pulau Blakang Mati (Island Behind Death). Starting from the 1880s, the island was an important British military base with a number of forts built on it to protect the southern shipping lanes. In 1970, the island was renamed Sentosa following a naming contest organised by the Singapore Tourist Promotion Board (STPB). The development of the island into a tourist and recreation resort came under the management of the Sentosa Development Corporation (SDC), which was formed in 1972.One of the projects under the development plan for Sentosa was a coral garden situated atop Mount Serapong on the eastern end of the island. The project was first announced in 1971 and was the brainchild of then Minister for Defence, Dr. Goh Keng Swee. Marine life expert Johnny Johnson was subsequently recruited to manage the project. Opened in 1974 as the Coralarium, it was the first such attraction to be found in Asia. The Coralarium complex was situated amidst four acres of beautiful garden grounds complete with landscaped pools. The coral exhibits were housed in a main building, designed by the Urban Renewal Department, which had an 18-metre-tall coralon tower. Inside the uniquely shaped building was a 60-metre-long continuous display corridor that showcased various corals and seashells. The Coralarium’s distinctive coralon tower was dismantled in June 1983 due to safety concerns over its structural stability.",Object size: 10.5 x 14.7 cm,,National Museum of Singapore,1147715,https://www.roots.gov.sg/Collection-Landing/listing/1147715
On Roots,https://www.roots.gov.sg/CollectionImages/1146274.jpg,2008-05029,2008,Coralarium at Sentosa,Singapore,,Mid 1970s,20th century (late),,,,"Located off the southern coast of mainland Singapore, Sentosa (Isle of Tranquillity) was initially known as Pulau Blakang Mati (Island Behind Death). Starting from the 1880s, the island was an important British military base with a number of forts built on it to protect the southern shipping lanes. In 1970, the island was renamed Sentosa following a naming contest organised by the Singapore Tourist Promotion Board (STPB). The development of the island into a tourist and recreation resort came under the management of the Sentosa Development Corporation (SDC), which was formed in 1972.One of the projects under the development plan for Sentosa was a coral garden situated atop Mount Serapong on the eastern end of the island. The project was first announced in 1971 and was the brainchild of then Minister for Defence, Dr. Goh Keng Swee. Marine life expert Johnny Johnson was subsequently recruited to manage the project. Opened in 1974 as the Coralarium, it was the first such attraction to be found in Asia. The Coralarium complex was situated amidst four acres of beautiful garden grounds complete with landscaped pools. The coral exhibits were housed in a main building, designed by the Urban Renewal Department, which had an 18-metre-tall coralon tower. Inside the uniquely shaped building was a 60-metre-long continuous display corridor that showcased various corals and seashells. The Coralarium’s distinctive coralon tower was dismantled in June 1983 due to safety concerns over its structural stability.",Object size: 10.6 x 14.8 cm,,National Museum of Singapore,1146274,https://www.roots.gov.sg/Collection-Landing/listing/1146274
On Roots,https://www.roots.gov.sg/CollectionImages/1149551.jpg,2008-05031,2008,Coralarium at Sentosa,Singapore,,Mid 1970s,20th century (late),,,,"Located off the southern coast of mainland Singapore, Sentosa (Isle of Tranquillity) was initially known as Pulau Blakang Mati (Island Behind Death). Starting from the 1880s, the island was an important British military base with a number of forts built on it to protect the southern shipping lanes. In 1970, the island was renamed Sentosa following a naming contest organised by the Singapore Tourist Promotion Board (STPB). The development of the island into a tourist and recreation resort came under the management of the Sentosa Development Corporation (SDC), which was formed in 1972.One of the projects under the development plan for Sentosa was a coral garden situated atop Mount Serapong on the eastern end of the island. The project was first announced in 1971 and was the brainchild of then Minister for Defence, Dr. Goh Keng Swee. Marine life expert Johnny Johnson was subsequently recruited to manage the project. Opened in 1974 as the Coralarium, it was the first such attraction to be found in Asia. The Coralarium complex was situated amidst four acres of beautiful garden grounds complete with landscaped pools. The coral exhibits were housed in a main building, designed by the Urban Renewal Department, which had an 18-metre-tall coralon tower. Inside the uniquely shaped building was a 60-metre-long continuous display corridor that showcased various corals and seashells. The Coralarium’s distinctive coralon tower was dismantled in June 1983 due to safety concerns over its structural stability.",Object size: 10.2 x 14.3 cm,,National Museum of Singapore,1149551,https://www.roots.gov.sg/Collection-Landing/listing/1149551
On Roots,https://www.roots.gov.sg/CollectionImages/1160635.jpg,2008-04776,2008,Coralarium at Sentosa,Singapore,,Mid 1970s,20th century (late),,,,"Located off the southern coast of mainland Singapore, Sentosa (Isle of Tranquillity) was initially known as Pulau Blakang Mati (Island Behind Death). Starting from the 1880s, the island was an important British military base with a number of forts built on it to protect the southern shipping lanes. In 1970, the island was renamed Sentosa following a naming contest organised by the Singapore Tourist Promotion Board (STPB). The development of the island into a tourist and recreation resort came under the management of the Sentosa Development Corporation (SDC), which was formed in 1972.One of the projects under the development plan for Sentosa was a coral garden situated atop Mount Serapong on the eastern end of the island. The project was first announced in 1971 and was the brainchild of then Minister for Defence, Dr. Goh Keng Swee. Marine life expert Johnny Johnson was subsequently recruited to manage the project. Opened in 1974 as the Coralarium, it was the first such attraction to be found in Asia. The Coralarium complex was situated amidst four acres of beautiful garden grounds complete with landscaped pools. The coral exhibits were housed in a main building, designed by the Urban Renewal Department, which had an 18-metre-tall coralon tower. Inside the uniquely shaped building was a 60-metre-long continuous display corridor that showcased various corals and seashells. The Coralarium’s distinctive coralon tower was dismantled in June 1983 due to safety concerns over its structural stability.",Object size: 10.1 x 14.9 cm,,National Museum of Singapore,1160635,https://www.roots.gov.sg/Collection-Landing/listing/1160635
